"Candidate.id","Candidate","Election_Status","Status_of_Candidate","Specific_Party","General_Party","Office_Sought","Num_of_Records","Total_dollar"
208873,"PAINE, JERRY","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 012-POSITION 2",90,39159.25
208829,"KNOWLES, BARRY","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 047-POSITION 2",214,39155.17
208943,"VALENTINE, BROOKE","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 047-POSITION 1",164,38585.75
208890,"RANADE, SAMEER","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 043-POSITION 1",436,37499.68
208916,"SIMMONS, STEVE","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 008-POSITION 2",113,36981.47
208938,"THOMAS, RICK","Lost-General","Lost","INDEPENDENT REPUBLICAN","Third-Party","HOUSE DISTRICT 029-POSITION 1",228,35948.5
208891,"RAUNIYAR, DARSHAN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 001-POSITION 2",166,35491.24
209367,"SUTHERLAND, ROBERT J","Lost-General","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 001",53,34792.5
209216,"VERNER, MARY","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","COMMISSIONER OF PUBLIC LANDS",199,34181.34
208827,"KLIPPERT, BRADLEY A (BRAD)","Won-General","Won","REPUBLICAN","Republican","HOUSE DISTRICT 008-POSITION 1",91,33059.99
209348,"MCDEVITT, DAVID","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 003",75,33052.85
209322,"BASLER, DOUG","Lost-General","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 009",63,32671.55
209370,"VENTRELLA, TONY","Lost-General","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 008",36,32634.9
209357,"RAMOS, SANTIAGO","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 008",40,31422.45
208925,"STEELE, MIKE","Won-General","Won","REPUBLICAN","Republican","HOUSE DISTRICT 012-POSITION 2",193,30526.96
208854,"MCCASLIN JR, BOB","Won-General","Won","REPUBLICAN","Republican","HOUSE DISTRICT 004-POSITION 2",76,30081
208857,"METCALF, RONDA","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 039-POSITION 2",105,29425
209317,"FISKEN, ALEC","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","TREASURER",49,28970.93
208949,"WAGEMANN, JOHN PAUL","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 028-POSITION 2",64,27448
208899,"RUDE, SKYLER","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 016-POSITION 1",139,27444.2
208822,"KEARBY, DAVE","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 015-POSITION 2",60,27337.72
208935,"TAYLOR, DAVID V","Won-General","Won","REPUBLICAN","Republican","HOUSE DISTRICT 015-POSITION 2",76,27285
209362,"SKOLD, ALIDA","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 008",5,26300
208956,"WINKLER, MICHAEL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 028-POSITION 2",184,25732.67
209268,"MECKLENBURG, KARL","Lost-General","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 025",106,25682.01
208929,"STRUB, RHENDA IRIS","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 022-POSITION 1",99,24246.29
221679,"CARLYLE, REUVEN M","Won-General","Won","DEMOCRATIC","Democratic","SENATE DISTRICT 036",41,23541
209293,"VAN DE WEGE, KEVIN","Won-General","Won","DEMOCRATIC","Democratic","SENATE DISTRICT 024",47,22568.43
208814,"JANSONS, RICHARD S (RICK)","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 008-POSITION 1",39,22555.44
208785,"FRANCIK, REBECCA","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 016-POSITION 1",120,22518.79
208736,"BYRNES, LORETTA","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 023-POSITION 1",207,21937.41
209261,"HOLT, ERIC K","Lost-General","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 018",119,20139.02
208848,"MAHER, DANIEL G (DAN)","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 012-POSITION 1",82,18815.37
209283,"RASMUSSEN, MARILYN","Lost-General","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 002",36,18653.8
208868,"ORANGE, DON","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 017-POSITION 1",88,18011.29
208731,"BREVOORT, DORIS","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 010-POSITION 2",165,16369.7
208906,"SCHERRER, JEFF","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 021-POSITION 2",92,15676
209270,"MOSCOSO, LUIS S","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 001",26,15133.22
208811,"IRWIN, MORGAN","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 031-POSITION 2",27,14737.94
209279,"PETRISH, NICK","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 010",110,14526
208818,"JOHNSON, KAREN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 022-POSITION 1",90,13879.82
208939,"TINNEY, VAL (HALLECK)","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 019-POSITION 1",101,13756.1
208910,"SEAQUIST, LARRY R","Lost-General","Lost","INDEPENDENT DEMOCRATIC","Third-Party","HOUSE DISTRICT 026-POSITION 1",62,13443.57
209346,"MARX, ANGELA (ANGIE)","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 003",46,13285.57
208866,"OLIVER, JERRY","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 017-POSITION 1",38,13221.55
208792,"GOULET, JENNIFER","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 009-POSITION 1",144,12650.93
208756,"DARNELL, MICHELLE","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 048-POSITION 1",110,12432.71
208933,"SUTINEN, TIM","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 019-POSITION 1",8,12165.7
208719,"ALGER, JOHN D","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 024-POSITION 2",85,12041.26
208766,"DOWNING, GARY","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 016-POSITION 2",70,11893
209250,"BORRELLI, TAMBORINE","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 002",89,11848
208730,"BOWMAN, SHANE A","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 018-POSITION 2",34,11525
209374,"WINEBERRY, JESSE","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 009",8,11500
208957,"WRIGHT, KYOKO MATSUMOTO","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 001-POSITION 2",77,11498.73
209331,"FERGUSON, JENNIFER GIGI","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 010",63,11495.04
208746,"CHRISTENSEN, GARN G","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 012-POSITION 2",28,11440.65
208958,"WRIGHT, LINDA","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 039-POSITION 1",32,11412.2
208710,"NAZARINO, SCOTT","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US SENATE DISTRICT WA SW-CLASS III",75,11175.43
208701,"CORNELL, PHILIP L","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US SENATE DISTRICT WA SW-CLASS III",16,10007.62
208885,"POLLOCK, PAMELA","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 033-POSITION 2",63,9849.74
209335,"HORNE, TOM","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 005",32,9597.95
209301,"HIGGINS, RON","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",25,9424.47
208883,"PILLOUD, ANDREW","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 034-POSITION 2",44,9014.81
208927,"STONE, DANNY","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 012-POSITION 2",59,8795
209288,"SIMONSON, BRYAN","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","SENATE DISTRICT 041",13,8417.08
209284,"RICHARDS, AMANDA","Lost-General","Lost","INDEPENDENT REPUBLICAN","Third-Party","SENATE DISTRICT 014",59,8115.27
209328,"COVERDALE, MIKE","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 006",6,8054.23
208838,"LAMONT, JACOB","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 042-POSITION 1",16,7768.25
208788,"GARCIA, JESSICA","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 029-POSITION 2",40,7717.82
209318,"LIIAS, MARKO S","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","TREASURER",17,7580
208772,"EDWARDS, MARY RUTH","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 016-POSITION 1",53,7289
208768,"DURST, BRANDEN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 029-POSITION 1",28,7200
208858,"MONROY, PABLO","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 031-POSITION 2",69,6963.25
208886,"POMRANING, ALLEN","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 016-POSITION 1",25,6804
209257,"GERHARDT, LEWIS","Lost-General","Lost","REPUBLICAN","Republican","SENATE DISTRICT 049",45,6739.02
208716,"ABOUDARA, ERIN L SMITH","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 011-POSITION 1",43,6567.76
208821,"KARLBERG, DOUG","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 042-POSITION 1",36,6489.43
208751,"COOPER, ANGELA J (AJ)","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 015-POSITION 2",68,6418.37
208755,"CRAIN, CAROLYN","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 049-POSITION 2",38,6326.29
208771,"EDWARDS, FRANKLIN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 022-POSITION 1",13,6012
208875,"PASS, JOHN","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 041-POSITION 1",41,5834.42
208946,"VISKOVICH, STEPHANIE HEART","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 046-POSITION 1",26,5289.14
208889,"RAMSAY, TAMMY","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 024-POSITION 1",49,4682
209204,"TRUMBULL, JOSHUA B","Lost-General","Lost","LIBERTARIAN","Third-Party","ATTORNEY GENERAL",21,4663.91
208864,"OBERG, JUSTIN","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 018-POSITION 1",87,4584.44
208749,"COLWELL, RICHARD","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 017-POSITION 2",10,4483.32
208936,"THANNISCH, NEIL","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 001-POSITION 1",19,4451
208948,"VRABLE, GEORGE","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 024-POSITION 1",12,4320.56
208740,"CARROLL, JACK","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 023-POSITION 1",8,3950
209259,"HAWKINS, BRAD M","Won-General","Won","REPUBLICAN","Republican","SENATE DISTRICT 012",7,3950
208722,"ATWOOD, TRACY","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 042-POSITION 2",32,3798.86
209230,"SCHROCK, RICHARD T","Lost-General","Lost","REPUBLICAN","Republican","INSURANCE COMMISSIONER",8,3729.25
208702,"CUMMINGS, TED","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","US SENATE DISTRICT WA SW-CLASS III",8,3654.17
209239,"PENOR, BILL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","LIEUTENANT GOVERNOR",4,3600
208874,"PALMER, SUSAN SOTO","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 014-POSITION 1",56,3449.78
209231,"ADDIS, PAUL","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","LIEUTENANT GOVERNOR",28,3341.26
209227,"RUBENSTEIN, STEVE","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","GOVERNOR",2,3305.67
208907,"SCHIRLE, DAVID D","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 032-POSITION 2",34,3262
209212,"NIELSON, STEVEN M","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","COMMISSIONER OF PUBLIC LANDS",32,3045.04
208953,"WEBB, JORDAN","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 013-POSITION 2",22,2732
208738,"CANTY, SAMUEL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 006-POSITION 1",13,2565
208865,"OHAGAN, JIMI","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 019-POSITION 2",14,2476.43
208783,"FOSTER, MIKE","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 007-POSITION 2",5,2474.74
208787,"FROSTAD, JOHN","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 031-POSITION 1",21,2392.33
208812,"IRWIN, WESLEY","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 032-POSITION 2",9,2340
208909,"SCOTT, MICHAEL","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 010-POSITION 1",9,2232.67
209290,"TAYLOR, GREG","Lost-General","Lost","REPUBLICAN","Republican","SENATE DISTRICT 027",16,2219.54
209340,"KELLER, CRAIG","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 007",14,2078.92
208720,"ANDERSON, LISA","Lost-Top Two Primary","Lost","INDEPENDENT DEMOCRATIC","Third-Party","HOUSE DISTRICT 018-POSITION 1",1,2000
208850,"MATIAS, ALEC","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 026-POSITION 1",21,1952.5
209306,"RUNTE, AL","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",12,1860.13
209307,"SPRING, DAVID","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",12,1815
208723,"AUSTIN, DONALD","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 022-POSITION 1",7,1528.36
209245,"APKER, JAMES R","Lost-General","Lost","LIBERTARIAN","Third-Party","SENATE DISTRICT 003",15,1489
208897,"ROEMER, HAILEY","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 009-POSITION 1",11,1435.24
208786,"FRISINA, ROB","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 017-POSITION 1",32,1417.88
208775,"ESPINOZA, RICARDO","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 016-POSITION 2",3,1400
209243,"TURNER, TIM","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","SECRETARY OF STATE",14,1323.93
213398,"STUCKER, SCOTT V","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 004-POSITION 1",7,1304.75
209273,"OWENS, STEVE","Lost-General","Lost","NO PARTY PREFERENCE","Third-Party","SENATE DISTRICT 022",6,1177.69
213399,"MCGLENN II, RANDY","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 003-POSITION 1",13,1160.34
208765,"DOWNES, NATHANIEL","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 002-POSITION 2",9,994.33
208777,"FERGUSON, APRIL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 023-POSITION 1",17,987
209324,"BLOOM, TODD A","Lost-General","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 006",3,639
209265,"LEE, ERIK","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 022",10,632
208802,"HART, ALEX","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 032-POSITION 2",1,460
208856,"MCLAREN, WADE","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 049-POSITION 2",7,444
208851,"MAYNES, DEREK","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 002-POSITION 2",4,405
209229,"MURTA, JUSTIN","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","INSURANCE COMMISSIONER",2,400
208941,"TRAVIS, BRIAN M","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 001-POSITION 1",5,286
208717,"ADAMS, JOHN (ERIC)","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 014-POSITION 2",3,240
208770,"EDDY, JOHN","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 043-POSITION 1",1,170
208718,"AGYEKUM, WILBERFORCE","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 044-POSITION 1",1,100
209205,"GOLDEN, DAVID","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","AUDITOR",1,50
209247,"BALDWIN, SPENCER","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 022",1,25
208692,"DWYER, STEPHEN J","Won-General","Won","NONPARTISAN","Nonpartisan","APPELLATE COURT DISTRICT DIVISION I 002",0,0
208694,"JOHANSON, JILL M","Won-General","Won","NONPARTISAN","Nonpartisan","APPELLATE COURT DISTRICT DIVISION II 003-002",0,0
208695,"MAXA, BRADLEY A (BRAD)","Won-General","Won","NONPARTISAN","Nonpartisan","APPELLATE COURT DISTRICT DIVISION II 001",0,0
208697,"PENNELL, REBECCA","Won-General","Won","NONPARTISAN","Nonpartisan","APPELLATE COURT DISTRICT DIVISION III 003",0,0
208698,"TRICKEY, MICHAEL J","Won-General","Won","NONPARTISAN","Nonpartisan","APPELLATE COURT DISTRICT DIVISION I 001",0,0
208699,"AMUNDSON, THOR","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US SENATE DISTRICT WA SW-CLASS III",0,0
208700,"CHURCHILL, PANO","Lost-Top Two Primary","Lost","LINCOLN CAUCUS","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208703,"HALLER, ZACH","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208704,"JACKSON, CHUCK","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208705,"LANDS, DONNA RAE","Lost-Top Two Primary","Lost","CONSERVATIVE","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208706,"LUKE, MIKE","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208707,"MAKUS, ERIC JOHN","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US SENATE DISTRICT WA SW-CLASS III",0,0
208708,"MOVER, UNCLE","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US SENATE DISTRICT WA SW-CLASS III",0,0
208711,"SAID, MOHAMMAD HASAN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US SENATE DISTRICT WA SW-CLASS III",0,0
208712,"TEUTON, JEREMY","Lost-Top Two Primary","Lost","SYSTEM REBOOT","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208713,"TSIMERMAN, ALEX","Lost-Top Two Primary","Lost","STANDUPAMERICA","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208715,"WRIGHT, SAM","Lost-Top Two Primary","Lost","HUMAN RIGHTS","Third-Party","US SENATE DISTRICT WA SW-CLASS III",0,0
208726,"BECK, KAITLYN","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 049-POSITION 1",0,0
208732,"BROWN, ILANA","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 018-POSITION 2",0,0
208734,"BURNS, JERRY","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 042-POSITION 2",0,0
208739,"CARDER, LAURA D","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 003-POSITION 2",0,0
208741,"CHANDLER, BRUCE O","Won-General","Won","REPUBLICAN","Republican","HOUSE DISTRICT 015-POSITION 1",0,0
208752,"COOPER, RYAN KNIGHT","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 008-POSITION 1",0,0
208759,"DELANEY, PAUL","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 003-POSITION 2",0,0
208761,"DICKINSON, JOHN","Lost-General","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 037-POSITION 1",0,0
208762,"DICKSON, DALE","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","HOUSE DISTRICT 042-POSITION 2",0,0
208767,"DRISCOLL, SHANE","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 039-POSITION 2",0,0
208773,"EGAN, JOSHUA","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 017-POSITION 1",0,0
208774,"ENDRESON, CHASE","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 044-POSITION 2",0,0
208781,"FORBES, SCOTT","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 043-POSITION 1",0,0
208790,"GIROUX, ANNE SETSUKO","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 028-POSITION 1",0,0
208796,"GUTHRIE, BRUCE","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 021-POSITION 2",0,0
208803,"HASH, MARTIN (MD)","Lost-General","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 017-POSITION 2",0,0
208805,"HELS, ALEX","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 021-POSITION 1",0,0
208817,"JOHNSON, BERT","Lost-General","Lost","INDEPENDENT","Third-Party","HOUSE DISTRICT 038-POSITION 2",0,0
208823,"KHAN, MOHAMMED RIAZ","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 021-POSITION 2",0,0
208831,"KOLDING, BRENDAN B","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 034-POSITION 1",0,0
208844,"LYONS, BRANDON","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 028-POSITION 2",0,0
208859,"MOREAU-COOK, AARON","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 001-POSITION 2",0,0
208861,"MULLER, MORREL JAMES","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 044-POSITION 2",0,0
208880,"PFUNDT, BARRY","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 006-POSITION 1",0,0
208881,"PHELPS, BENJAMIN JUDAH","Lost-General","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 048-POSITION 2",0,0
208887,"POTTER, JOHN","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 033-POSITION 1",0,0
208900,"RUTLEDGE, ALVIN","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 032-POSITION 1",0,0
208904,"SCHAEFER, CHARLES","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 033-POSITION 1",0,0
208905,"SCHEIDLER, BILL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 026-POSITION 1",0,0
208918,"SMITH, KEITH","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","HOUSE DISTRICT 032-POSITION 1",0,0
208924,"STAVRUM, BUTCH","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 019-POSITION 2",0,0
208931,"SUGIYAMA, KAZUAKI (KAZ)","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 001-POSITION 1",0,0
208952,"WATKINS, KERRY","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 044-POSITION 2",0,0
208961,"ZAERR, ZACHARY","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 043-POSITION 1",0,0
209209,"WILSON, MARK","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","AUDITOR",0,0
209214,"STILLINGS, JOHN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","COMMISSIONER OF PUBLIC LANDS",0,0
209217,"BLOMSTROM, DAVID W","Lost-Top Two Primary","Lost","FIFTH REPUBLIC","Third-Party","GOVERNOR",0,0
209219,"DEAL, JAMES ROBERT","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","GOVERNOR",0,0
209220,"DODDS, JOHNATHAN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","GOVERNOR",0,0
209221,"GOODSPACEGUY","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","GOVERNOR",0,0
209222,"HIRT, BILL","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","GOVERNOR",0,0
209224,"JOUBERT, CHRISTIAN PIERRE","Lost-Top Two Primary","Lost","HOLISTIC","Third-Party","GOVERNOR",0,0
209225,"MARTIN, MARY","Lost-Top Two Primary","Lost","SOCIALIST WORKERS","Third-Party","GOVERNOR",0,0
209226,"OROURKE, PATRICK","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","GOVERNOR",0,0
209232,"DAVIES, DANIEL B","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","LIEUTENANT GOVERNOR",0,0
209235,"GREENE, MARK","Lost-Top Two Primary","Lost","CITIZENS","Third-Party","LIEUTENANT GOVERNOR",0,0
209240,"WALLACE, KAREN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","LIEUTENANT GOVERNOR",0,0
