Candidate,Candidate_Entity:id,Num_of_Records,Total_dollar
"BARNHART, RACHEL A",41756095,130,49559.78
"GAROFALO, PATRICK L",6666056,55,49557.67
"GIROUARD JR, PAUL",25004615,249,49549.36
"KILBOURN, JONATHAN",9929019,47,49508.28
"PAUL, ROY",41491121,112,49508
"FORRESTER, PAUL MICHAEL (MIKE)",6676025,122,49497.08
"SOLOMON JR, JOSEPH J",25004391,106,49449
"PARADEE III, WILLIAM CHARLES (TREY)",8416676,250,49439.44
"GOFF, BECKY",39714814,74,49418.18
"FROERER, DEANA",39715834,195,49394.21
"HALL II, DUANE R",10886007,184,49383.2
"KEABLE, CALE P",6509357,166,49372.2
"DA PONTE, DANIEL",6403549,236,49370
"ODONNELL, TONY",39289434,113,49327.45
"WILLS, JOHN H",23353651,259,49325.3
"FACEMIRE, DOUGLAS EUGENE",13013934,82,49300
"CORBET, KENNETH R",13703442,196,49296.47
"SEGEBART, MARK",11023354,179,49295.25
"URESTI, TOMAS",37969816,63,49274.5
"FROST, PAUL K",716914,227,49247.52
"MARZIAN, MARY LOU",6377370,22,49244.19
"WILKINSON, KHRISTY",39714775,83,49243.7
"LANDIS, DIANE H",8482167,127,49233.54
"ARMBRUST, BILL",28621432,52,49225.71
"WINDLE, JOHN MARK",6403059,15,49225
"WARD, ELLA P",5702375,64,49224.75
"LAWRENCE, DERICKSON K",4502944,11,49221.21
"STEVENS, AL",39827912,151,49216.09
"PRINCE, BRIAN L",18912331,137,49211.64
"GRIFFITH, JEFFREY",39434902,62,49186.7
"CALLEY, JULIE",14670342,166,49119.67
"SIMON, JO ANNE",4525332,232,49095.63
"PETERSON, SCOTT",14396466,332,49079.61
"HALL, ERIC",39828117,132,49079.4
"HAYDEN, CEDRIC ROSS",13434002,140,49050.07
"SHORT, BRYON",6496751,186,49033.09
"STRICKLER, JAMES R (R J)",6669679,68,49024
"CLINE, SUE",21776822,81,48999.34
"HOOPER, EARLENE HILL",4993559,140,48985
"KIM, PATTY H",11022950,109,48979.47
"OLIVER, JEAN S",39828139,91,48977.68
"DURSO, ANTHONY",41755835,175,48954
"BENGTSON, ARDEL",39451308,62,48931.62
"HANSEN, JIM",11029512,75,48925
"MAYO, RAHN",12999258,105,48916
"ARCHAMBAULT, STEPHEN R",6509526,334,48915
"LATZ, RONALD (RON)",13002962,92,48888.24
"HILL EVANS, CAROL",42540309,85,48884.11
"WOLFER, CYNTHIA DEADRICK (CINDY)",38445111,104,48881.85
"BRAUN, DAVE",40621927,24,48868.57
"FENTON, KELLY",19060973,61,48860.96
"GREEN, DARCIE",39707412,73,48846.83
"LANDON, JOHN",11023391,225,48809.37
"CANDELARIA, JACOB",11022566,196,48795.99
"CROMER, RONNIE W",6614090,96,48784.16
"LANE, CHARLOTTE R",6680555,137,48770
"KELLER, KRISTOPHER",37970357,447,48767
"HOLLOWELL, STEVE",37971349,61,48750
"JONES, SHEVRIN (SHEV)",13889121,68,48750
"HICKEY JR, JIMMY",9605777,69,48702.52
"SPOTORNO, FRANK J",15789026,20,48700
"ROBERTS, DUSTIN",13004997,78,48700
"JONES, BRENDEN HARDING",12543361,150,48691.8
"GIARRUSSO, ANTONIO (ANTHONY)",13735874,66,48675
"GRIFFIN, JOE",39828071,107,48637
"HENDERSON, ROBERT",6106243,94,48624.8
"HINEMAN, DON",6677560,157,48599.64
"CORRIVEAU, JACLYN",27996727,51,48590.12
"MIMS, BONNAYE V",13003118,97,48572.99
"WEST, JASON",7899805,101,48568.32
"PETROLATI, THOMAS M",504348,268,48554.76
"THIGPEN, IVORY T",39714644,423,48545
"WILLIAMS, JEFF",37971420,134,48521.98
"BIRCHER, MARK",20610760,14,48491
"ARUTE, KRISTEN",41806472,128,48454.18
"CLARK, ALAN",9604589,127,48452.54
"BRADLEY, FRAN",40606669,73,48442.19
"ACCAVITTI JR, FRANK",39849772,40,48425.82
"CARMICHAEL, JOHN",8770083,260,48415.13
"BOHAM, KENNETH ARNOLD",38445179,156,48409.26
"WEST, KEVIN",39827988,126,48313.18
"MITCHELL, DAVID",37970354,26,48300
"STONE, CHARLIE",11029316,74,48300
"MAESTAS, ANTONIO (MOE)",6475626,123,48291.63
"EVERETT, GARTH DAVID",13005779,157,48286.83
"GLICKMAN, STEVE",41755778,218,48250.48
"NIELSEN, AMY",21105011,165,48238.34
"PHIPPS, EDWARD L",39714677,101,48225
"CHILDS-SMITH, SONDRA",21091530,319,48188.26
"SMITH, JAMES E (JIM)",6675161,110,48181.61
"PETERS, DEBORAH",6658710,102,48164.13
"SHALLAL, MICHAEL",212911,47,48151.76
"MEREDITH, SUSAN (SUE)",11029557,149,48129.06
"NYMAN, KARA L",26372001,227,48126
"BACA JR, JOE",2540679,37,48113.79
"MILLETT, CHARISSE E",6678391,142,48106
"WESLEY, ED",15688063,304,48104.2
"GUTSCHE, GAIL LYNN",6431644,491,48097.02
"MCCALLISTER, GARY",21776817,87,48083.2
"MATIAS, JUANA B",41757815,153,48074.89
"GREGG, TYLER S",41759117,205,48037.91
"HAMILTON, SUSAN HOLLADAY",13003882,165,48037.83
"WOODS, JOHN PATRICK (PAT)",11022550,111,48000
"ANZELC, TOM",6517637,67,47988.58
"CUSHING III, ANDRE E",6674087,285,47988
"ANDERSON, CHAD",39762742,59,47984.76
"THEIS, TAMA",17359633,57,47984.54
"ZAMARRIPA, JOCASTA",2607131,340,47961
"KIRKENDOLL, ARTHUR E (ART)",6514626,84,47950
"PARISELLA, JERALD A",177505,463,47896.2
"DOW, DANA L",6657626,14,47894.35
"RHOADS, SHAWN",11029641,97,47850
"JENNINGS, JUDY",6499698,36,47829.56
"PITTMAN, JEFF",40609440,238,47816.16
"MARIANO, AMBER",40759425,121,47805.84
"MARKS, CINDY",319325,74,47785.59
"EARLE, BEVERLY M",5946439,89,47758.99
"FERRO, PAUL R",41757791,104,47750.24
"KOSTAKOPOULOS, JONATHAN",41755969,85,47745
"ROBERTS, SEAN",6676652,37,47725.27
"DAVIDOW, JOE",41676845,172,47724.45
"BRANNON, NORMAN D",39714604,141,47716.32
"MARTER, JAMES T",38444974,57,47662.76
"KING, BRIAN S",3055519,69,47655.47
"DOBSON, JOSHUA ROBERT (JOSH)",24351835,54,47650
"SNELLER, TIM",39849907,244,47645.84
"EDMING, JAMES W (JIMMY BOY)",3674985,204,47643.18
"LEWIS, JACK PATRICK",41193000,185,47635.88
"MCTEAGUE, DAVE",14979832,71,47631.02
"MCDERMOTT, ROBERT C (BOB)",6562614,136,47627.1
"JACKSON, KEITH",39828007,73,47600
"YOUNG, GEORGE E",23442395,106,47597.99
"KAFKA, LOUIS L",6406268,237,47578
"RUUD, CAROLINE (CARRIE)",6597157,52,47574.25
"KING, JOANNA",38525920,38,47571.5
"COPELAND, DONNIE R",12997072,38,47500.74
"CROSS, GARY",6684859,152,47474.09
"OREILLY, MICHAEL A",42703757,46,47458
"ROBERTS, STEPHEN",42546330,89,47452.21
"NETHERCOTT, TARA B",40624947,77,47438.28
"LEHE, DONALD J",6604966,126,47425
"BLANKSMA, MEGAN C",29172727,153,47395.3
"SPADOLA, JAMES NORMAN",26785925,281,47393.84
"BURKE, WILLIAM",35769745,11,47391
"REY, CHRISTIA VIRDELLE (CHRIS)",38445480,78,47374.04
"ADAMS JR, JOSEPH L (JOE)",3754036,153,47372.41
"BOLDYGA, NICHOLAS A",13001389,147,47333.72
"KANE, HANNAH E",70643,320,47313.32
"WAGGONER, MICHAEL P (MIKE)",41681011,50,47304.07
"RUE, SANDER",6579535,97,47275
"MOED, JUSTIN",10246079,116,47267.12
"CHIRKUN, JOHN",257426,180,47234.75
"DANIELS, BRIAN",24844789,75,47219.41
"MURRAY, BEN",15422213,308,47219.4
"FIGUEROA, JAVIER H",40587927,143,47208
"FRITZ, JONATHAN A",39434925,78,47171.29
"BOURDON, JOSHUA",32013375,221,47161.92
"RIVERA, JOSE",6438059,75,47145
"PAULY, DEBORAH",16936276,156,47091.87
"FARINA, FRANK A",11022960,219,47086.45
"TRUJILLO, CHRISTINE V",6383465,119,47076.67
"STOKES, STACIE",39447243,135,47076.17
"STEVENS, ADAM",15576825,75,47072.43
"LECHUGA-TENA, IDALIA",39176854,103,47069.71
"DAVIS, ANDY",10885354,79,47004.33
"BLAIR, CRAIG",6581554,89,46995
"HILL, H BRENT",6590820,89,46965.82
"CRUM, ADAM",40621990,157,46960.53
"SEATON, PAUL K",6604267,249,46933
"SLOM, SAM",6599450,109,46921.88
"CAMPER, KAREN D",6494807,91,46900
"HEINTZEMAN, JOSHUA",24844757,39,46896.27
"DELUCA, ANTHONY M",13005589,92,46890.38
"KLABUNDE, BRYAN",39433072,47,46881.01
"HILL, KRISTIN LEE PHILLIPS",23442848,99,46862.75
"HOGANCAMP, JONI S",39494727,68,46828.74
"KOSOWSKI, ROBERT L",12719984,138,46824.94
"JACOBS, KAREN",37969669,160,46770.61
"KUGLITSCH, MICHAEL (MIKE)",6696435,221,46711.67
"CLARY, GARY E",23424534,143,46686.59
"SOTTILE, F MICHAEL (MIKE)",13006546,84,46661.99
"FICKER, ROBIN KEITH",4990093,10,46638.22
"BLAZEJEWSKI, CHRISTOPHER R",6509271,165,46626
"SUTTON, BILLIE H",6503188,58,46611.21
"STUTES, LOUISE",9402901,148,46589.74
"KACENA, TIMOTHY H",39447211,120,46580.97
"HOWELL, DAN",22216004,91,46578
"PAINTER-GOFFI, ROSLYN",2649470,113,46552.34
"MCDONALD, KEVIN",16394379,396,46552
"IRVIN, RICH",26249227,94,46489.8
"MEDINA, DEBBIE",26157759,588,46487
"ATWATER, TODD",13006493,52,46474.16
"LEE, CHRIS KALANI",6496287,118,46455.84
"WELSH, DARREN",39827670,50,46393.73
"ZOUL, ZACHARY Z",39451326,49,46379.39
"SCOTT, LARRY R",8984216,87,46350
"LOONEY, MARTIN M",13011269,418,46313
"EDER, KATHLEEN J",39441783,235,46305.36
"HAHN, MARCIA M",6687992,137,46285
"LIBERATI, FRANK",180980,211,46243.71
"GALLO, HANNA M",6403643,120,46236
"SALAS, JAVIER",35995431,87,46202
"WHIPPLE, BRANDON",6507719,195,46167.77
"BEARDEN, TIMOTHY J",40783695,40,46151
"MACH, STEFANIE",12719900,293,46147.1
"STOOPS, MARK",13000390,115,46145
"MILLS, TERRY",6499869,82,46135
"KENNEDY, CRYSTAL",9417827,104,46133.4
"WALKER, LARRY",31649698,97,46125
"SAVIELLO, THOMAS B",6411327,41,46112.06
"ROWE, M D (MATT)",42052608,85,46107.9
"ANDERSON, TONYA P",12745810,62,46102
"MARTIN JR, CHARLES E",6587184,88,46100.16
"LEONARD, DANIEL J (DAN)",13000362,101,46079.37
"NASH, JIM",24844848,55,46079.26
"CAISSIE, JENNIE L",13010204,228,46072.85
"TUFTE, JEROD ELTON",40626231,25,46051.83
"RYE, JOHNNY",37971358,104,46035
"CAPUTO, MICHAEL L",6385502,225,45980.2
"ARDINGER, THOMAS F",41757795,90,45979.19
"BARRIO, ALEX",41676801,263,45961.2
"BEVENS, BRAYDON L",42689469,11,45857.34
"WALKER, KENT",37971331,168,45848
"PEPPIN, JOYCE",6666112,33,45821.22
"NYE, MARK",7883355,222,45817.8
"NISHIMOTO, SCOTT Y",12999415,114,45789.11
"PILKINGTON, AARON",37971384,75,45783
"KIEL, DEBRA (DEB)",6697778,42,45768.64
"TARNAS, DAVID",40622398,94,45761.16
"MCNEILL, ALLEN RAY",16072472,214,45754.96
"SIGLER, PAM",39494778,195,45753.7
"MORRIS, BOB",6697099,85,45750
"LAKE, VICTOR",24844856,52,45742.59
"POWDRELL-CULBERT, JANE E",6579503,80,45735
"BECKER, JOHN E",10238839,443,45728
"RUSSELL, JOHN",37970423,359,45727.52
"LAUER, JEANIE",6684883,102,45726.93
"GURTLER, MATT",39525441,145,45724
"ALLEY, LARRY W",6536324,101,45643.73
"HICKS, ANGELA",39525379,23,45600.19
"DELIGIANNI-BRYDGES, ALEXIA",38584070,17,45597.76
"MULRAINE, EDWARD A",41755726,188,45580
"FARRINGTON, TONY",41757810,214,45573.51
"SULLIVAN, SEAN R",17046423,107,45545.99
"RESCHKE, ERIC W",39434538,91,45528.5
"SALINE, WAYNE",2792190,25,45523.15
"LIMA, CHARLENE",13006171,219,45520
"MARSHALL, ROBERT",19890460,4,45500
"WRIGHT, MARSHALL",12997660,149,45500
"ANTONE, BRUCE",1532328,68,45500
"MURPHY, MICHAEL R",37960974,92,45495.41
"WESTLAKE, DEAN",9406176,170,45488.63
"COVIL, TAMMY JOBIN",38445236,29,45485
"BARKELY, MICHAEL J (MIKE)",39707210,15,45478.62
"TORKELSON, PAUL",6678649,39,45477.28
"RAMONE, MICHAEL (MIKE)",6619492,88,45469.4
"PRESCOTT, RUSSELL E",6595701,181,45445
"PAWLIK, JENNIFER",25733144,74,45444.57
"SMITH, KENT",3400315,186,45429.79
"MARCUM, JUSTIN J",6515218,108,45425.37
"LAST, BRAD",6606755,45,45401.05
"KENT, BERNADINE KENNEDY",37970360,179,45388.69
"TOSADO, JOSE F",14488894,338,45340
"SHAW, JOHNNY W",13006761,65,45325
"YAMASHITA, KYLE T",12999403,123,45325
"HAMMER, KIM",6669707,71,45324.13
"ANDERSON, JOSH",38525895,70,45322.4
"ONEILL, MOIRA K",39714320,36,45314.49
"DURHAL III, FREDERICK",26314073,75,45300
"BRYSON, FREDRICK E (RICK)",40620437,55,45285.53
"HASENBECK, TONI",39828142,39,45274.08
"LONG, RICKY D",6683233,16,45244.23
"SCHNELTING, ADAM",39656717,217,45240.43
"GABBARD, M (MIKE)",6512016,110,45221.2
"LANG, ANDREW",40606549,69,45163.61
"PAPPAS, GEORGE",2469460,74,45160.84
"PERILLO, JASON D",6678301,171,45160
"DILL, JAMES F",6501252,22,45153.19
"SHANNON, CHAD",39494774,49,45150
"LUNDSTRUM, ROBIN",22027796,50,45147.59
"STINARD, SHARON",25720781,82,45118.33
"ADAMS JR, JAMES CECIL",23442066,98,45089.1
"LOWEN, NICOLE",13689934,95,45089
"MCGUIRE, BARBARA",6479211,89,45036.51
"GALEF, SANDRA R",4477879,208,45028
"CASKEY IV, MICAJAH P",39714660,142,45001.98
"BLANC, ISELA",25729732,78,44989.35
"WEAVER, TERRI LYNN",6669920,96,44981
"NICHOLS, MONROE",22188040,146,44980
"WEST, BEN",39434587,59,44952
"MEZA, ROBERT",12997856,180,44949
"PIERSON SR, TOMMIE L",4009594,102,44948.5
"GERGELY, MARC J",6400237,33,44946
"SLATER, SCOTT A",6509304,209,44930
"WHIPPS LEE, SUSANNAH M",25004645,214,44925.92
"NAJERA, MIGUEL",39828128,162,44925.65
"LODGE, PATTI ANNE",6576084,117,44894.83
"FITZWATER, PAUL",6685313,100,44865.86
"HARRINGTON, ANDREA C",41757743,124,44844
"KASTNER, KEVIN D",40621992,157,44840.53
"MCNAMARA, WENDY (MAC)",6682279,100,44837.85
"SLATEN, DON",40606736,40,44823.38
"WEICHERT, STEVE",16203696,71,44815.66
"QUINN, TIM",39715789,64,44810.02
"LAWN JR, JOHN J",6513431,252,44792.1
"LORING, BEN",8613073,117,44769.17
"CAPUTI, TAMMY",39698376,46,44760.88
"BURCH, THOMAS J",6377188,98,44750
"PEISCH, ALICE HANLON",461472,211,44735.35
"PFAUTSCH, DONNA",11029506,143,44723.67
"AWERKAMP, FRANCIS",20845516,102,44711.94
"JOHNSON, MARK",40606527,56,44652.86
"THORNTON, ANTHONY LINN",13751989,121,44651.85
"QUEEN, BENNETT MONTGOMERY",39705601,163,44635.86
"COOK, JAMES J",14964122,130,44633.93
"ARMSTRONG, DEBORAH A (DEBBIE)",8931298,145,44606.26
"RAPP, KATHY L",4883173,205,44580.23
"NESSELBUSH, DONNA M",13013463,109,44576.83
"TER-PETROSYAN, ARSEN",39827650,2,44548.33
"BOYD, JUSTIN",16169234,86,44544.04
"MARTINEZ, RORY",39827567,26,44491.9
"MILLER, JOSHUA",13013497,193,44485
"MCNAMAR, JAY",12745917,54,44472.68
"LARICCIA, DOMINIC F",24361022,117,44450.15
"ELLIS, JAKE",18011072,297,44444.16
"IANNELLA JR, CHRISTOPHER",1563328,146,44430.81
"FULLER SR, GREGORY",40814566,348,44429.95
"GRAVES, BRENT",37969713,235,44354.77
"MCMILLIN, TOM",42748576,759,44345.04
"SAUKE, DUANE",18625337,55,44338.64
"JACOBY, DAVID J",12999526,122,44302.09
"CERVANTES, JOSEPH",6382885,83,44300
"SALMAN, ATHENA",40621924,57,44277.37
"TURNER, JOHNNIE R",6506058,75,44277
"FAUST-GOUDEAU, OLETHA",6409034,115,44252.95
"ESGAR, DANEYA LEIGH",23440963,221,44238.6
"DALESSANDRO, ANDREA D",6492084,64,44205
"RAHN, KATHLEEN",40621920,54,44202.32
"MARIN, PEDRO (PETE)",6378455,100,44200.51
"GEISS, ERIKA",20972257,219,44174.31
"WALSH, THOMAS P",14461027,174,44151.2
"RYDEN, SU",6024588,299,44136.39
"HACKENMUELLER, JOE",43550662,302,44109.17
"WALSH, JOHN",40814574,89,44102.24
"MAY, KARLA",3800302,77,44065
"SMITH, CODY",39656828,178,44043
"CARLIN, JAMES (JIM)",6098505,119,44014.2
"HOLMES, MIKE",39701425,103,43991
"KANTRUD, ALAN",40606701,58,43988.94
"HOLCOMB, MIKE",10885326,74,43972.85
"HAMMOND, CORIN",40621898,90,43896.66
"KESSINGER, JAN H",40609404,174,43895.46
"RUGGIERO, DEBORAH L",6497090,130,43889.8
"LOPRESTI, MATTHEW",13689951,113,43879.53
"MCQUEEN, MATTHEW",23350848,228,43855.8
"MCPHAUL, DOLLY",26470603,290,43798.38
"CRAIG, DAVID J (DAVE)",6699010,250,43740.53
"HODGE, TIM",40609392,263,43721
"GAY-DAGNOGO, SHERRY",220997,142,43720.59
"PARISH, JUSTIN",39560929,376,43704.98
"CRAWFORD, JOHN",39714717,67,43676.7
"FANSLER, ZACH",40622042,205,43644.54
"POWERS HANNLEY, PAMELA",40621896,136,43638.48
"NYSTROM, QUINN",40606639,48,43624.06
"JOHNSON, DENNIS",6668853,50,43591.03
"BARLOW, STEWART E",6700256,50,43587.88
"GUTH, DENNIS R",6101704,158,43586.85
"ZETTLER, NANCY A",38445080,44,43586.28
"SHAMMAS, JOSEPH (JOE)",39707255,23,43498.27
"THEDE, PHYLLIS",6013352,148,43479.28
"LEE JR, LARRY",13889115,69,43450.01
"ONISHI, RICHARD H K",13689929,86,43407.74
"MCCOY, PETER",6687315,114,43404.16
"MEYER, STEVEN G",25855719,245,43381.16
"FISCHER, PETER",16072411,42,43356.13
"BREAUX, JEAN",6488536,91,43351.83
"DWYER, BRANDON",15852418,83,43350.84
"MURPHY BECK, HENRY E",39714316,28,43349.29
"ROSS, RICHARD",6665547,122,43335.28
"LASKY, BETTE R",6394748,164,43330
"FAURA-MORALES, WALDO",41676894,36,43322.65
"DAWKINS, JASON",23442693,67,43300.18
"POIRIER, ELIZABETH A",1246813,441,43267.2
"JORDAN, DARRYL",6376445,97,43250.16
"BERNARDY, CONNIE",6515920,30,43225.43
"MILLER, BRIAN D",41756028,53,43210
"MARK, PAUL W",13001328,370,43196.04
"MACBETH, TONYA K",29104807,48,43182.7
"HORLANDER, DENNIS L",6377325,78,43180
"QUINN, CHRISTINE",41676679,16,43164.05
"RANGEL, RICARDO",11029355,66,43149
"GILLESPIE, KATHY",2722249,304,43137
"ZAYAS-DAVIS, MARILYN",37970306,245,43135
"MCSORLEY, CISCO",6383142,160,43125.49
"CARLSON, LYNDON R",6427951,31,43119
"PAPPAS, SANDRA L",6428546,30,43085.32
"RATLIFF, JAMES",6382184,120,43063.23
"HALES, DAVID (DAVE)",24357019,3,43043.35
"MILLER, MELISSA L",41755846,127,43020
"TALLEY, CARYL",39827953,163,43020
"YOUNGBLOOD, MONICA C",11022443,84,43016.17
"DAVIS, MONIQUE D",3246219,51,43013.17
"HILSTROM, DEBRA",6515854,71,43009.08
"SHIKE, JOHN",37969840,18,43000
"MASIN, SANDRA A",6516344,50,42998.74
"SEXTON, MICHAEL V (MIKE)",6355879,228,42983
"ITO, KEN",6397327,118,42980
"BISHOP, ELIZABETH",6421718,442,42975.61
"BAIRD, JAMES (JIM)",6682179,87,42958
"PENZO, CLINT",37971415,93,42935.64
"JURGENS, TONY",40606737,50,42916.06
"GOODWIN, REGINA",8888006,221,42911.95
"WIST, COLE",6343160,247,42896.11
"CUNNINGHAM, CARLA D",10886178,14,42877.99
"CARAWAY, BARBARA MALLORY",6469396,108,42861.69
"MACCARLEY, MARK",200087,72,42854.41
"BUFFALO, RUTH",40626170,21,42850
"ACKERLEY, JOHN CHRISTOPHER",12719882,53,42838.01
"MCKENZIE, CURTIS",6590930,64,42822.97
"KNOPP, GARY",13789734,114,42815.18
"RIOS, REBECCA",8509414,156,42807.98
"FARMER, ANDREW E",11029798,69,42775
"SPOTLESON, VINNY",39827643,258,42768.24
"KEIM, LISA",42545073,38,42754.9
"SINNETTE, KEVIN P",13000928,58,42689
"HOVLAND, BARBARA",39447244,101,42660.22
"ICHIYAMA, LINDA E",6511905,113,42650
"LEE, VERETA T",12039762,62,42609.16
"HIBBARD, LARRY PAUL",4067009,199,42538.39
"BECKER, STEVEN R",13703496,159,42498.87
"MURPHY, JAMES",13001423,183,42498
"BRUTUS, OTTO PATRICK",29258695,14,42466
"SULLIVAN, BRIANNA",41757782,187,42437.7
"BENNETT, ANDRIA L",13789779,151,42429
"CYRWAY, SCOTT W",26783579,12,42418.75
"FRANTZ, LEROY SCOTT",2182773,59,42408
"PETERSON, RANDY A",38445118,8,42398
"NUTT, BECKY",40621905,22,42394.55
"ROWE, LARRY L",13008089,182,42390.94
"KOENIG, ADAM",6611087,90,42378.39
"DUARTE, JOE",6677766,140,42365
"COLLINS, NEAL ANTHONY",17766551,153,42364.35
"SABIN, WARWICK",10885358,80,42346.97
"BARLOW-LEAR, CAROL",39715686,31,42324.87
"JOHNSON, ROD",6663916,84,42318.26
"GUERARD, RUSSELL",23424569,93,42296.75
"FRANKLIN, DIANE",3692976,157,42295.95
"SCOTT, SUE",10885451,61,42278
"OSTROV, SHIRLENE DELACRUZ",40622461,70,42274.86
"TORRES RAY, PATRICIA",13012477,29,42250.75
"SHEHEEN, VINCENT A",8120666,150,42249.35
"HOUX, DAN",26139221,199,42240
"KEEN, CHAD",9366540,47,42218.17
"MIRANDA SAENZ, MARITZA",40621876,225,42207.78
"CLODFELTER, TODD A",12719902,23,42205
"GONZALES, DWIGHT",37971411,90,42178.88
"SANFELIPPO, JOE",13735964,272,42145
"TOONE, SALLY",39441785,128,42139.35
"KULIK, STEPHEN",747895,227,42118.52
"GABALDON, ROSANNA I",12719881,25,42115
"MADDALON, BILLY D",38445403,126,42114.72
"BAUMGARDNER, MOLLY",24844712,113,42090.69
"PURDY, VIKI",21190620,62,42085.63
"CLAYTOR, MARY ROEBUCK",39705532,189,42084.22
"CAMACHO, IRVIN",37971418,211,42073.68
"GREGOIRE, DANIELLE W",13001419,219,42072.27
"FRITZ, PATTI",6515638,31,42054.04
"SCOTT, HEATHER",23425999,190,42046.21
"RAY, PAUL F",13007118,73,42045.72
"SMITH JR, JAMES E",6378071,100,42043.16
"CLARK III, ROBERT BENJAMIN (BEN)",5878314,42,42029.13
"JOHNS, MARK C",6697346,181,42020.95
"KILMER, BEV",41676615,109,42008.23
"WILLIS, MARK N",6670052,161,41969.16
"COX, BETH",39659937,117,41966.41
"CISNEROS, CARLOS R",13012903,90,41960
"PIETZMAN, RANDY",24811489,100,41943.52
"COOK, MICHAEL J",39451332,20,41877.36
"RARICK, JASON",24844760,52,41872.6
"SAMFORD, LENA",39656825,198,41858.21
"BLAKEY, BOB",13665704,238,41823.36
"MALLARD, TIMOTHY S",39714615,131,41817.46
"HESS JONES, MEGAN LEE",12999470,285,41805.83
"TUSLER, RON",26246883,120,41765.22
"LOVAS, PHIL",12719928,134,41762.54
"HOLSCLAW JR, JOHN B",23424646,91,41750
"GUNTHER, ROBERT C",6597674,38,41734.85
"HOLT, DANIEL",13689942,73,41729.74
"MILLER, STEVE",10885612,91,41729
"KENNEDY, BRIAN PATRICK",6403763,225,41725
"SALAS-ABARCA IV, MANUEL (MANNY)",39656669,222,41707.97
"PRINE, MATT",38526081,140,41699.98
"THREATT, ARCHIE LEON",23442311,70,41698.75
"BATES, MICHAEL PATRICK (MICK)",6486798,122,41685
"FISCHER, JAMES M (JIM)",23598603,30,41654.6
"METZ, LARRY",507658,67,41644.15
"REMOLE, TIM",6684782,116,41622.65
"JEFFREY, DOUG",37969880,90,41615.99
"MCINNIS, THOMAS MOSES (TOM)",6045803,65,41613.06
"SCHERR, DAVID",34844534,77,41602
"MASON, LYNN S",130128,512,41591.12
"COBB-HUNTER, GILDA",6377713,96,41576.04
"HANSEN, RICK",13002934,47,41567.21
"SMITH, DENNIS J",9143549,62,41554.63
"GUNN, LA MAR",39580231,101,41533.29
"LINARES, GUILLERMO",5686085,56,41514.35
"SMITH, STEVE",6690727,140,41481.33
"WILSON, KENNETH (KEN)",11029477,136,41471.94
"SANKEY III, THOMAS R",11023501,75,41470.19
"POLLET, GERALD M (GERRY)",2809440,203,41460
"VAN WINKLE, KEVIN",20825350,213,41436.66
"HENEGAN, PATRICIA M (PAT)",23424521,150,41427.41
"GLENN JR, JAMES H (JIM)",3284667,68,41412.92
"LAWSON, MARK",39827948,143,41385
"ALVAREZ, JAIME",40621868,49,41364.21
"JENKINS, JONI",13000688,28,41348.94
"SMITH, CLEMENT (CLEM)",3726977,59,41306.59
"TOWNSEND, KELLY J",6690635,100,41285.08
"NOLAN, CATHERINE T",13009215,75,41283.51
"PETERSON, JEREMY",6675611,62,41281.67
"BARROW, RANDY",42578393,193,41265.73
"BECK, CARSON W (BILL)",9450719,127,41249.36
"GRAY, MICHAEL JOHN",9607046,156,41242.44
"SPIEGELMAN, JEFFREY NATHAN",13789762,209,41203.4
"MATORY, LIZ",35972961,50,41157
"LEHMANN, MIKE",40606582,45,41099.47
"RASMUSSEN-LACOTTA, DEANNA",40621916,49,41095.2
"HENDERSON, PHYLLIS",6700294,109,41077.19
"CARSON JR, WILLIAM J",6496696,100,41062.5
"GRUENHAGEN, GLENN",6694368,39,41026.25
"THIESFELDT, JEREMY JOHN",2927969,286,41017.06
"GRANTHAM, TRAVIS W",13607128,60,41000.25
"THAYER, ANNE",13006313,109,40986.44
"GOODE SR, GREGORY MICHAEL",40609515,69,40979.6
"SHUDOFSKY, ARYEH",38601912,60,40977.35
"MCNAMARA, JOSEPH",6403907,97,40975
"METTLER, KENNETH L",28570,25,40965.12
"SACCONE, RICHARD",6687791,105,40951.65
"BRAKEY, ERIC L",23424346,196,40938.45
"TRASK, MILILANI B",13010176,47,40924.56
"MUSCATO, MICHAEL",40621872,19,40907.09
"PRIOR, SCOTT",12720159,24,40885
"EATON, CHRIS",6518410,37,40881.32
"JACK, PHILIP C",19226759,108,40877.52
"VORPAGEL, TYLER JOHN",2829371,204,40818.06
"VITELLI, ELOISE A",9947092,44,40798.48
"ARROYO, CARMEN E",13009274,92,40795.99
"PRIOR, CARA",15827195,17,40777
"CORNISH, ANTHONY",13002856,20,40773.96
"GUERRA, VANESSA",21013076,315,40765
"GRIER, TERI",42533516,37,40729.33
"MUNOZ, JASON",40461520,246,40720.75
"ALLEN, MIKE",39656769,157,40672.39
"PETERSBURG, JOHN",12746177,51,40647.59
"WIRCH, ROBERT W",13013888,550,40639.8
"HARDY, RANDALL R",40609482,153,40636.56
"KEALOHILANI MATSUMOTO, LAUREN CHEAPE",16521851,108,40635
"PHILLIPS JR, RUPERT W (RUPIE)",6486996,104,40621.01
"GRIER, DEREK",39656770,143,40602.07
"MCGINNIS, JOHN D",11023502,45,40541.32
"WEBSTER, PHIL",38525942,75,40535.71
"MILLER, MICHAEL G",6499783,126,40523
